# Действия: IGNORE (игнорировать), WARN (предупреждение), FAIL (падение сборки)
# Полный список ID: https://www.zaproxy.org/docs/alerts/

# КРИТИЧНЫЕ
10202	FAIL	(SQL-инъекция — пассивно: ищет SQL-ошибки в ответах сервера)
40018	FAIL	(SQL-инъекция — активно: отправляет payload-ы и проверяет реакцию)
40020	FAIL	(SQL-инъекция — H2, используется в CI)
90022	FAIL	(Раскрытие внутренних ошибок сервера)
40014	FAIL	(Межсайтовая подделка запроса, CSRF)
40009	FAIL	(Подделка серверного запроса, SSRF)
40012	FAIL	(Межсайтовый скриптинг, XSS)
40040	FAIL	(CORS: сервер принимает произвольный Origin от чужого домена)
40041	FAIL	(CORS: сервер принимает null Origin, эксплуатируется через iframe sandbox)
40042	FAIL	(CORS: wildcard Origin совместно с Allow-Credentials — обход политики браузера)
10045	FAIL	(Раскрытие исходного кода или служебных файлов)

# ПРЕДУПРЕЖДЕНИЯ
10010	WARN	(Cookie без флага HttpOnly — JS может читать сессию)
10011	WARN	(Cookie без флага Secure — передаётся по HTTP)
10015	WARN	(Некорректный Cache-Control — страницы могут кэшироваться)
10016	WARN	(Отсутствует X-XSS-Protection)
10017	WARN	(Подключение JS со сторонних доменов)
10019	WARN	(Отсутствует Content-Type в ответе)
10020	WARN	(Отсутствует X-Frame-Options — возможен clickjacking)
10021	WARN	(Отсутствует X-Content-Type-Options)
10036	WARN	(Сервер раскрывает свою версию в заголовке)
10038	WARN	(Отсутствует Content-Security-Policy)
10054	WARN	(Cookie без флага SameSite — уязвимость к CSRF)
10063	WARN	(Отсутствует Permissions-Policy)
10096	WARN	(Раскрытие временных меток сервера)
10098	WARN	(Слишком широкий CORS, например Allow-Origin: *)

# ИГНОРИРУЕМЫЕ
10027	IGNORE	(Комментарии TODO/FIXME в JS — ложные срабатывания в dev-сборке Next.js)
10109	IGNORE	(Информационное сообщение о современном JS-фреймворке, не уязвимость)
